,id,name,com1,com2,Segment K-means PCA
438,5v1mU1giXqokrOnNhCPDkP,Louisiana,1.606610814546232,-1.0544594580114144,1
439,6nVSuzjKSZ9y6NrxUtmimA,Lovable,1.2071401230812124,-1.310649870410325,1
440,7mjBXTOlhlaxX3qZDLfX6G,I'm Gonna Meet My Sweetie Now,1.1744046165722621,-1.5350239376659243,1
444,06GtF3borSXnkXfCyeUUmX,El Vazquito - Remasterizado,2.540892155215512,-0.8186792243929618,1
446,08SpaYq4TuWsuqHoxJg3xM,Ki Ki - Remasterizado,2.2592685610884264,-0.9730180814543985,1
448,0DXeuoAUgY4kkFuC3AvhmE,Pelco y Trama,0.4310347752347369,-1.4023879675417377,1
449,0GJn6cusRANNfmv25i1hPZ,Una Noche en París - Remasterizado,2.2745572749260368,-0.8729089155665654,1
454,0V29uZ25OVqdQeB7uOeUv3,La Sulamita - Remasterizado,1.5845007628021452,-0.7103506847547512,1
456,0cqYzfCNsc3ESTkEsE45Ns,Les grains de beauté,1.846103127096495,-0.786548185805611,1
458,0fSiph081hxiAPQ95Ra786,I Want To Be Happy,0.47744825275763264,-1.3265648630121543,1
459,0ffe3xtnnDpGxRE3lHIwhD,Jump For Joy,1.080861870344824,-1.3433105571737307,1
461,0habaFvLjblyuJHUXOP1bu,Sin Consuelo - Remasterizado,2.53948354326134,-0.8731790417096167,1
462,0jevjABCJ7yA139ejmBjZY,J'aime pas ca,1.7112164601340891,-1.4641822875392962,1
463,0lL9oZj00ktbJjmvJhuGnp,My Pet,2.256356099303827,-1.1248736721689983,1
465,0oBftCwkss2MDilOow56oy,Oh París - Remasterizado,2.1229228024442617,-1.035679206999008,1
466,0odJX7Vaz6vyRdF7foaS19,El Flechazo - Remasterizado,2.223871655389957,-1.0634984129640856,1
467,0sfPuqQFRqddMCwyntbyjC,Avec bidasse,1.5562490527076867,-1.9114653919732154,1
